,City,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Country
350,seminole,40,1553275283,72,32.72,-102.64,290.37,9.3,US
351,celano,0,1553274887,42,42.09,13.54,293.15,5.1,IT
352,lasa,20,1553274905,63,34.92,32.53,291.15,1.66,CY
353,petatlan,5,1553272800,62,17.52,-101.27,302.15,2.06,MX
354,komsomolskiy,68,1553275401,95,67.55,63.78,267.413,1.61,RU
355,solnechnyy,0,1553275402,75,50.72,136.64,255.063,2.26,RU
356,mezhdurechensk,0,1553275403,69,53.69,88.07,265.863,1.51,RU
358,dongsheng,0,1553275405,89,29.72,112.52,279.713,2.66,CN
359,darnah,32,1553275206,98,32.77,22.64,289.563,8.16,LY
360,belyy yar,0,1553274000,33,53.6,91.39,272.15,2,RU
361,barra patuca,80,1553275409,84,15.8,-84.28,299.813,6.71,HN
362,nikolskoye,0,1553274886,55,59.7,30.79,277.15,5,RU
363,beyneu,24,1553275413,78,45.32,55.19,278.163,2.16,KZ
364,sladkovo,0,1553275414,62,55.53,70.34,261.813,1.26,RU
367,vysha,88,1553275417,92,53.85,42.38,272.913,4.01,RU
368,naryan-mar,56,1553275418,91,67.67,53.09,267.663,2.21,RU
370,hobyo,56,1553275420,86,5.35,48.53,299.263,5.81,SO
371,tarpon springs,1,1553275258,37,28.15,-82.76,297.04,2.6,US
373,port lincoln,0,1553275223,100,-34.72,135.86,289.613,3.56,AU
374,avera,1,1553275392,31,33.19,-82.53,291.48,6.2,US
375,salalah,40,1553273400,74,17.01,54.1,299.15,2.6,OM
376,gangapur,0,1553275428,42,19.7,75.01,294.813,2.96,IN
377,williamsburg,20,1553275239,41,37.27,-76.71,288.71,6.7,US
378,bowen,90,1553275391,88,-20.01,148.25,298.15,6.46,AU
379,ushtobe,0,1553275433,81,45.25,77.98,274.913,0.91,KZ
380,ibipeba,80,1553275434,87,-11.64,-42.01,296.413,4.01,BR
381,mirnyy,88,1553275436,85,56.57,36.46,272.313,8.96,RU
382,thanesar,0,1553275437,48,29.98,76.83,290.163,5.46,IN
383,fuerte olimpo,12,1553275439,79,-21.04,-57.87,303.163,1.86,BR
384,padang,40,1553272200,83,-0.92,100.36,299.15,2.1,ID
385,marsa matruh,0,1553270400,77,31.35,27.25,290.15,3.6,EG
386,middelburg,32,1553275443,60,-25.77,29.46,292.913,3.51,ZA
387,limerick,75,1553272200,53,52.66,-8.63,283.15,7.2,IE
389,stepanov,68,1553275446,77,47.64,38.83,279.263,8.41,RU
390,kenai,1,1553275324,89,60.55,-151.26,277.04,5.7,US
391,fort smith,1,1553274948,39,35.39,-94.42,290.15,1.96,US
392,yumen,0,1553275451,61,40.29,97.04,268.863,3.56,CN
393,camacari,75,1553272800,79,-12.7,-38.32,303.15,5.1,BR
394,angoche,24,1553275453,100,-16.23,39.91,300.413,2.06,MZ
395,ola,68,1553275455,96,59.58,151.3,264.413,1.16,RU
396,maxixe,40,1553274000,78,-23.86,35.35,300.15,5.26,MZ
397,sinegorskiy,88,1553275458,80,48.01,40.84,278.313,7.06,RU
398,alice springs,0,1553274000,23,-23.7,133.88,296.15,2.6,AU
399,caloundra,40,1553275440,88,-26.8,153.14,297.15,2.1,AU
400,white oak,75,1553275445,74,39.04,-76.99,284.26,6.7,US
401,the pas,1,1553274000,60,53.82,-101.24,278.15,4.1,CA
402,qasigiannguit,40,1553273400,39,68.82,-51.19,251.15,2.6,GL
403,santander,0,1553275468,98,9.42,123.33,298.063,4.76,PH
404,pathein,0,1553275469,78,16.78,94.73,298.263,4.16,MM
406,alpena,40,1553275402,68,45.06,-83.43,273.71,8.2,US
407,nioki,24,1553275472,88,-2.72,17.69,298.563,1.51,CD
408,aykhal,68,1553275474,84,65.95,111.51,262.313,4.11,RU
409,worland,1,1553275231,40,44.02,-107.96,287.04,9.8,US
410,shikarpur,40,1553274000,64,27.96,68.63,297.15,3.21,PK
411,madras,1,1553275452,75,44.63,-121.13,283.71,2.21,US
412,brilon,0,1553275457,34,51.4,8.57,292.15,4.1,DE
413,kirakira,48,1553275481,99,-10.46,161.92,302.363,3.61,SB
414,aracataca,40,1553275269,70,10.59,-74.19,303.15,2.1,CO
415,iralaya,40,1553270400,74,15,-83.23,301.15,2.6,HN
416,uusikaupunki,0,1553273400,51,60.8,21.41,276.15,2.6,FI
417,tucurui,76,1553275487,80,-3.77,-49.67,301.913,1.36,BR
418,hangu,92,1553275489,93,33.53,71.06,281.413,1.51,PK
419,chalmette,40,1553275307,48,29.94,-89.96,294.82,2.6,US
420,leshukonskoye,68,1553275492,86,64.9,45.76,272.363,1.51,RU
421,arona,0,1553275463,20,45.76,8.56,293.15,2.6,IT
422,pevek,0,1553275367,62,69.7,170.27,243.563,2.46,RU
423,fort nelson,20,1553270400,74,58.81,-122.69,272.15,1.51,CA
424,brae,92,1553273400,65,60.4,-1.35,281.15,14.4,GB
425,mayumba,88,1553275500,97,-3.44,10.65,300.813,3.96,GA
426,ler,0,1553275470,49,63.2,10.3,282.15,13.9,NO
427,cove,1,1553275458,38,29.8,-94.84,298.71,1.86,US
429,storslett,0,1553273400,51,69.77,21.03,275.15,9.3,NO
430,cedar city,90,1553274001,93,37.68,-113.06,276.15,5.1,US
431,hwange,8,1553275508,25,-18.35,26.5,302.563,4.31,ZW
432,cap malheureux,40,1553275440,78,-19.98,57.61,301.15,5.7,MU
433,ballina,75,1553275323,65,54.11,-9.15,282.15,7.7,IE
434,champerico,40,1553273100,48,16.38,-93.6,301.15,2.01,MX
435,hamilton,90,1553275296,64,43.26,-79.87,277.59,9.3,CA
436,gusev,0,1553275515,67,54.59,22.2,275.663,2.61,RU
437,roald,75,1553275503,76,62.58,6.12,284.15,10.8,NO
438,fairbanks,20,1553275350,55,64.84,-147.72,280.37,3.6,US
439,port alberni,75,1553275260,93,49.24,-124.81,286.48,5.1,CA
440,pointe-noire,40,1553274000,79,-4.8,11.85,303.15,4.6,CG
